x,y
20,15.75
20,13.18452381
20,14.75
20,18.86904762
20,15.60119048
20,17.46428571
20,13.58928571
20,14.32142857
20,14.70238095
20,12.35119048
20,28.17857143
20,18.3452381
20,14.75
20,25.35714286
20,16.72619048
20,21.47619048
20,14.89880952
20,29.15629777
20,12.33928571
20,21.39285714
21,21.875
21,15.96428571
21,14.20833333
21,24.11309524
21,24.23214286
21,17.82738095
21,13.14285714
21,12.64285714
21,12.86904762
21,29.3556527
21,18.39285714
21,15.4047619
21,13.41071429
21,18.95238095
21,14.75595238
21,13.38690476
21,29.38111265
21,25.75
21,17.94642857
21,12.07738095
23,17.29166667
23,18.5297619
23,31.82413135
23,11.91666667
23,16.99404762
23,21.32142857
23,19.77380952
23,13.33333333
23,20.13690476
23,14.08928571
23,24.94642857
23,17.125
23,16.54166667
23,12.57738095
23,28.29230211
23,15.49404762
23,16.10714286
23,15.76785714
23,14.86309524
23,21.70238095
24,19.25
24,12.55952381
24,17.19047619
24,14.36904762
24,15.95238095
24,17.25595238
24,12.64880952
24,21.88690476
24,18.23214286
24,18.63690476
24,24.91666667
24,11.98809524
24,11.88095238
24,15.31547619
24,22.69642857
24,31.78086406
24,24.19642857
24,12.375
24,25.61904762
24,20.08928571
25,13.82738095
25,19.16666667
25,17.26190476
25,11.85119048
25,19.31547619
25,15.125
25,29.04235449
25,26.88095238
25,13.69642857
25,18.20238095
25,14.30357143
25,18.39285714
25,19.83333333
25,22
25,21.2797619
25,16.46428571
25,14.32142857
25,22.06547619
25,19.36309524
25,13.99404762
26,20.89880952
26,19.60119048
26,17.81547619
26,13.7202381
26,19.73809524
26,20.78571429
26,13.16666667
26,14.0297619
26,16.61309524
26,16.9702381
26,11.79166667
26,28.23368456
26,11.39880952
26,20.23214286
26,16.89285714
26,29.68452381
26,16.18452381
26,19.48809524
26,16.45833333
26,15.125
28,15.67261905
28,17.97619048
28,21.02380952
28,15.39880952
28,16.20238095
28,19.69642857
28,26.86309524
28,16.23809524
28,16.97619048
28,19.8452381
28,21.79166667
28,15.48214286
28,14.86904762
28,18.67857143
28,12.08928571
28,16.67857143
28,16.95238095
28,16.94642857
28,18.61904762
28,20.60714286
29,13.80952381
29,14.0952381
29,26.04166667
29,19.625
29,16.35119048
29,15.02380952
29,10.64285714
29,16.30952381
29,17.95833333
29,22.91666667
29,14.29166667
29,29.76190476
29,30.51213677
29,11.5
29,12.76785714
29,20.74404762
29,16.45238095
29,15.26190476
29,16.16071429
29,15.14285714
30,24.89285714
30,16.35714286
30,13.93452381
30,18.86309524
30,19.0297619
30,15.54761905
30,14.55357143
30,26.74404762
30,12.64285714
30,27.5297619
30,18.03571429
30,17.23214286
30,15.41071429
30,14.71428571
30,16.71428571
30,17.5297619
30,13.2202381
30,16.50595238
30,13.72619048
30,17.19642857
