x,y,,,,
3.2,24.45833333,,,,24.45833333
3.2,11.7797619,,,,11.7797619
3.2,17.05952381,,,,17.05952381
3.2,14.21428571,,,,14.21428571
3.2,11.88095238,,,,11.88095238
3.2,29.7459597,,,,0
3.2,26.1547619,,,,26.1547619
3.2,16.70833333,,,,16.70833333
3.2,16.60714286,,,,16.60714286
3.2,14.07738095,,,,14.07738095
3.2,14.33928571,,,,14.33928571
3.2,15.75595238,,,,15.75595238
3.2,19.38690476,,,,19.38690476
3.2,13.99404762,,,,13.99404762
3.2,16.21428571,,,,16.21428571
3.2,16.24404762,,,,16.24404762
3.2,13.93452381,,,,13.93452381
3.2,20.79761905,,,,20.79761905
3.2,18.19642857,,,,18.19642857
3.2,20.16071429,,,,20.16071429
3.4,25.11904762,,,,25.11904762
3.4,22.04761905,,,,22.04761905
3.4,14.94047619,,,,14.94047619
3.4,14.57142857,,,,14.57142857
3.4,19.36904762,,,,19.36904762
3.4,19.45238095,,,,19.45238095
3.4,15.82738095,,,,15.82738095
3.4,15.70833333,,,,15.70833333
3.4,16.5297619,,,,16.5297619
3.4,26.2202381,,,,26.2202381
3.4,14.73809524,,,,14.73809524
3.4,16.43452381,,,,16.43452381
3.4,15.92857143,,,,15.92857143
3.4,15.51785714,,,,15.51785714
3.4,19.5952381,,,,19.5952381
3.4,20.4702381,,,,20.4702381
3.4,18.57738095,,,,18.57738095
3.4,31.48557497,,,,0
3.4,19.0297619,,,,19.0297619
3.4,12.94642857,,,,12.94642857
3.6,13.72619048,,,,13.72619048
3.6,14.92857143,,,,14.92857143
3.6,17.13095238,,,,17.13095238
3.6,13.60714286,,,,13.60714286
3.6,22.70238095,,,,22.70238095
3.6,14.79761905,,,,14.79761905
3.6,12.82738095,,,,12.82738095
3.6,13.97619048,,,,13.97619048
3.6,13.75,,,,13.75
3.6,30.77006949,,,,0
3.6,14.33928571,,,,14.33928571
3.6,12.66071429,,,,12.66071429
3.6,29.53571429,,,,29.53571429
3.6,24.92261905,,,,24.92261905
3.6,28.79166667,,,,28.79166667
3.6,10.99404762,,,,10.99404762
3.6,20.56547619,,,,20.56547619
3.6,17.7202381,,,,17.7202381
3.6,14.44047619,,,,14.44047619
3.6,18.7797619,,,,18.7797619
3.8,15.03571429,,,,15.03571429
3.8,15.63095238,,,,15.63095238
3.8,14.70833333,,,,14.70833333
3.8,21.45238095,,,,21.45238095
3.8,21.33333333,,,,21.33333333
3.8,19.30952381,,,,19.30952381
3.8,15.63095238,,,,15.63095238
3.8,21.01785714,,,,21.01785714
3.8,16.14880952,,,,16.14880952
3.8,24.10714286,,,,24.10714286
3.8,12.25595238,,,,12.25595238
3.8,15.33928571,,,,15.33928571
3.8,16.9702381,,,,16.9702381
3.8,14.44047619,,,,14.44047619
3.8,23.76785714,,,,23.76785714
3.8,30.29673719,,,,0
3.8,22.46428571,,,,22.46428571
3.8,16.375,,,,16.375
3.8,14.22619048,,,,14.22619048
3.8,12.33928571,,,,12.33928571
4,13.82738095,,,,13.82738095
4,19.16666667,,,,19.16666667
4,17.26190476,,,,17.26190476
4,11.85119048,,,,11.85119048
4,19.31547619,,,,19.31547619
4,15.125,,,,15.125
4,29.97779985,,,,0
4,26.88095238,,,,26.88095238
4,13.69642857,,,,13.69642857
4,18.20238095,,,,18.20238095
4,14.30357143,,,,14.30357143
4,18.39285714,,,,18.39285714
4,19.83333333,,,,19.83333333
4,22,,,,22
4,21.2797619,,,,21.2797619
4,16.46428571,,,,16.46428571
4,14.32142857,,,,14.32142857
4,22.06547619,,,,22.06547619
4,19.36309524,,,,19.36309524
4,13.99404762,,,,13.99404762
4.2,23.05952381,,,,23.05952381
4.2,15.5952381,,,,15.5952381
4.2,15.94047619,,,,15.94047619
4.2,23.875,,,,23.875
4.2,12.63095238,,,,12.63095238
4.2,17.14880952,,,,17.14880952
4.2,21.28571429,,,,21.28571429
4.2,20.10119048,,,,20.10119048
4.2,17.00595238,,,,17.00595238
4.2,13.27380952,,,,13.27380952
4.2,12.33928571,,,,12.33928571
4.2,15.91071429,,,,15.91071429
4.2,17.92261905,,,,17.92261905
4.2,22.78571429,,,,22.78571429
4.2,23.80952381,,,,23.80952381
4.2,25.23214286,,,,25.23214286
4.2,30.81424405,,,,0
4.2,18.20833333,,,,18.20833333
4.2,19.29761905,,,,19.29761905
4.2,18.08333333,,,,18.08333333
4.4,19.32142857,,,,19.32142857
4.4,16.00595238,,,,16.00595238
4.4,15.23809524,,,,15.23809524
4.4,15.79761905,,,,15.79761905
4.4,14.95833333,,,,14.95833333
4.4,18.77380952,,,,18.77380952
4.4,17.4702381,,,,17.4702381
4.4,23.88690476,,,,23.88690476
4.4,12.71428571,,,,12.71428571
4.4,18.9702381,,,,18.9702381
4.4,26.35714286,,,,26.35714286
4.4,16.01190476,,,,16.01190476
4.4,14.16071429,,,,14.16071429
4.4,15.63690476,,,,15.63690476
4.4,19.54761905,,,,19.54761905
4.4,15.11309524,,,,15.11309524
4.4,30.26252767,,,,0
4.4,17.19047619,,,,17.19047619
4.4,12.10119048,,,,12.10119048
4.4,18.14285714,,,,18.14285714
4.6,30.53010148,,,,0
4.6,20.0952381,,,,20.0952381
4.6,13.71428571,,,,13.71428571
4.6,19.57738095,,,,19.57738095
4.6,12.20238095,,,,12.20238095
4.6,23.01785714,,,,23.01785714
4.6,19.16666667,,,,19.16666667
4.6,21.85119048,,,,21.85119048
